County,Candidate,Margin,PartyMargin,Reported,VotesCounted,AbsenteeCounted
Dougherty,Biden,39,D+38.4,57%,31975,15653
Harris,Trump,54,R+47.6,80%,16429,9422
Clayton,Biden,71,D+70.1,84%,103553,83233
Bibb,Biden,24,D+20.4,85%,70623,53634
Sumter,Biden,1.4,D+2.2,85%,10932,8245
Richmond,Biden,37,D+32,86%,86584,65733
Chatham,Biden,17,D+14.7,87%,116159,78975
Jeff Davis,Trump,64,R+62.9,87%,5774,4090
Dooly,Trump,6,R+2,87%,4098,3140
Taylor,Trump,34,R+22.5,87%,3418,2784
Atkinson,Trump,47,R+45.2,87%,3155,2174
Stewart,Biden,19,D+20.3,87%,1978,1455
Baker,Trump,16,R+8.7,87%,1552,1110
Floyd,Trump,42,R+42.9,88%,37914,27665
Taliaferro,Biden,22,D+21.9,88%,927727
Cobb,Biden,13,D+2.2,89%,378130,307161
DeKalb,Biden,67,D+62.9,89%,358805,311931
Muscogee,Biden,24,D+18.5,89%,80216,66695
Walton,Trump,53,R+56.1,89%,45316,33996
Rockdale,Biden,40,D+25.7,89%,43586,37392
Macon,Biden,23,D+27.2,89%,4661,3611
Telfair,Trump,31,R+30,89%,4323,3038
Quitman,Trump,10,R+10.9,90%,1106,776
Jenkins,Trump,26,R+25.3,91%,3451,2565
Miller,Trump,47,R+49.8,91%,2830,2119
Glascock,Trump,80,R+78.9,91%,1566,1120
Seminole,Trump,35,R+32.2,92%,3877,2624
Talbot,Biden,21,D+24.8,92%,3519,2505
Calhoun,Biden,15,D+17.2,92%,2193,1547
Douglas,Biden,25,D+10.7,93%,68715,57921
Bacon,Trump,73,R+68.6,93%,4668,4087
Hancock,Biden,44,D+51.9,93%,4162,3254
Burke,Trump,3,D+2.6,94%,10086,6622
Berrien,Trump,66,R+66.4,94%,7731,5542
Wilkes,Trump,13,R+16.1,94%,5022,3798
Lincoln,Trump,38,R+36.2,94%,4643,3462
Wilcox,Trump,47,R+41.8,94%,3281,2245
Appling,Trump,57,R+57.9,95%,8322,6230
Towns,Trump,61,R+61.7,95%,7968,6849
Twiggs,Trump,7,R+1.6,95%,4438,3156
Dade,Trump,65,R+65.5,96%,7423,5119
Wilkinson,Trump,12,R+10.2,96%,4770,2926
Gwinnett,Biden,18,D+5.8,97%,405681,333040
Lowndes,Trump,13,R+17.4,97%,45138,36727
Bryan,Trump,43,R+42.9,97%,18316,14791
Stephens,Trump,59,R+59.6,97%,11875,10317
Johnson,Trump,40,R+37.5,97%,4100,3111
Warren,Biden,12,D+13.8,97%,2681,2188
Catoosa,Trump,56,R+59.8,98%,32659,26296
Polk,Trump,57,R+57.3,98%,17375,13861
Pickens,Trump,66,R+68.8,98%,17113,10332
McDuffie,Trump,19,R+18.7,98%,10451,8985
Chattooga,Trump,62,R+58.8,98%,10041,7161
Oglethorpe,Trump,39,R+41.9,98%,8126,6622
Echols,Trump,76,R+72,98%,1439,1176 
