County,Candidate,Margin,PartyMargin,Reported,VotesCounted,AbsenteeCounted
Butler,Trump,58,R+36.6,69%,78070,—
Philadelphia,Biden,60,D+67,70%,576716,75220
Crawford,Trump,59,R+37.1,72%,30680,—
Mercer,Trump,42,R+24.2,73%,44522,—
Greene,Trump,65,R+40.1,73%,13055,—
Lehigh,Trump,2,D+4.7,77%,143221,—
Cumberland,Trump,25,R+17.8,77%,109272,—
Delaware,Biden,22,D+22.3,79%,272442,74110
Tioga,Trump,66,R+52.5,79%,16331,—
Monroe,Trump,3,D+0.8,81%,65327,—
Juniata,Trump,75,R+61.2,81%,9605,—
Erie,Trump,5,R+1.6,83%,118986,14741
Carbon,Trump,48,R+33.8,83%,27026,—
Allegheny,Biden,17,D+16.5,84%,635286,274087
Bucks,Trump,0.9,D+0.8,85%,342072,—
Armstrong,Trump,64,R+51.2,85%,30548,—
Chester,Biden,11,D+9.4,86%,269304,55824
Westmoreland,Trump,35,R+31,86%,182227,—
Beaver,Trump,24,R+18.5,86%,83527,—
Centre,Biden,4,D+2.3,86%,76156,—
Blair,Trump,48,R+45.5,89%,57116,—
Montgomery,Biden,25,D+21.3,92%,464554,148100
Luzerne,Trump,16,R+19.3,92%,143877,50016
Berks,Trump,8,R+9.9,93%,198803,—
Indiana,Trump,38,R+35,93%,40835,—
Clarion,Trump,51,R+47,94%,19234,—
Lancaster,Trump,17,R+19.1,95%,265628,—
Cambria,Trump,37,R+36.8,95%,69585,—
Fayette,Trump,36,R+30.8,95%,58030,—
Lawrence,Trump,30,R+27.8,96%,45217,11911
York,Trump,25,R+28.8,97%,232733,—
Franklin,Trump,43,R+45.8,98%,79791,—
Lebanon,Trump,32,R+34.5,98%,70200,19761
Schuylkill,Trump,40,R+43,98%,69649,—
Warren,Trump,39,R+39.8,98%,20401,5048
Union,Trump,25,R+25.1,98%,19832,—
Montour,Trump,21,R+28.4,98%,9714,—
